year,GFDD.SI.01,GFDD.SI.02,GFDD.SI.04,GFDD.SI.06,GFDD.EI.01,GFDD.EI.05,GFDD.EI.06,GFDD.DI.01,GFDD.DI.05,GFDD.DI.12,FB.AST.NPER.ZS,FD.AST.PRVT.GD.ZS,FM.LBL.BMNY.GD.ZS,NY.GDP.MKTP.KD.ZG,FP.CPI.TOTL.ZG,NY.GDP.PCAP.CD,SP.POP.TOTL,GC.DOD.TOTL.GD.ZS,BX.KLT.DINV.WD.GD.ZS,FS.AST.PRVT.GD.ZS
2009,3.767753,3.3,73.15778,30.35936,6.60017,1.893697,19.40446,23.29451,30.44925,25.65534,2.89219586768057,24.8947731439176,38.1966839102142,4.62887118256153,4.38641311792074,2218.48541852977,243220028,29.997306381567,0.90391941965406,27.6587104878441
2018,16.4891,9.4609569,79.0957,11.54734,2.924462,-0.1216264,-1.568813,50.92169,74.95651,50.92169,9.46095691207992,50.3381627463062,74.097824604711,6.45385134497769,3.9388264669163,1966.25455171679,1374659064,46.5224986659322,1.55821483801455,50.3381627463062
2017,15.45114,9.98,75.43223,13.0423,2.874403,-0.2477876,-3.243977,50.14956,76.20414,50.14956,9.97528206363178,48.7940213990706,74.1441893624702,6.79538341897911,3.32817337461298,1950.10468280866,1359657400,47.5836093800197,1.50731583255894,48.7940213990706
2016,17.14082,9.1855195,70.80779,14.93399,2.805027,0.407659,5.388434,50.50218,76.67645,50.50218,9.18565591814957,49.1012254191449,74.5492653519617,8.25630550179086,4.94821634062141,1707.50892912243,1343944296,47.6337555915272,1.9373641224439,49.1012254191449
2015,16.17971,5.8835223,77.39363,13.00611,2.777501,0.2493197,3.409561,53.34397,80.23255,53.34397,5.88352227400692,51.8675240772049,78.0119105841633,7.99625378571471,4.90697344127256,1583.99815907985,1328024498,49.9647183856551,2.09211521443253,51.8675240772049
2014,16.44565,4.3458498,77.21124,6.705616,2.850189,0.7525052,10.61122,52.96008,79.51778,52.96008,4.34584976316209,51.8821873589628,77.8993537588766,7.41022760508854,6.66565671867899,1553.88396075118,1312277191,49.9009248748319,1.69565958990806,51.8821873589628
2013,17.16692,4.0277286,77.77428,6.92357,3.010606,0.9881853,13.88486,53.99804,80.58845,53.99804,4.02772863501631,52.385709516972,78.1821717320597,6.38610640094825,10.0178784746102,1432.84397512195,1295829511,50.3118273627008,1.5162764665975,52.385709516972
2012,17.02201,3.3739539,78.71188,7.209099,3.068149,0.9793252,13.97811,53.54128,79.36308,53.54128,3.37395391664123,51.8885076473464,76.9131885205749,5.45638755166587,9.47899691419801,1429.32199520032,1278674502,50.6780305618952,1.31293453035323,51.8885076473464
2011,16.88878,2.670195,75.84528,7.909459,3.349387,1.075549,15.4055,52.3142,80.41277,52.3142,2.67019501469286,51.2892331325447,78.8373112865613,5.24131619937695,8.91179336483371,1445.46127486037,1261224954,51.5565536600977,2.0020634629993,51.2892331325447
2008,17.38812,2.4000001,75.33697,11.0916,3.141147,1.13988,17.13745,50.08586,78.19485,50.08586,2.44971206075607,49.559366687116,77.3729561105341,3.08669805921981,8.34926704907581,992.519584923828,1207930964,57.2922142809949,3.62052323540171,49.559366687116
2005,14.56117,5.1999998,73.43903,10.46727,3.525682,0.9791996,17.09877,41.63029,68.1039,41.63029,4.40178559448821,40.0679804780573,65.5481218951747,7.92343062148318,4.24634362031922,710.488080408949,1154676322,62.2265261001737,0.886098378458821,40.0679804780573
2015,35.51081,3.2407703,82.52576,13.51949,4.103178,1.358365,16.39583,31.48494,41.69927,31.48494,3.24077029740187,39.2689857236735,49.685390040446,4.20595547449241,3.76836783062096,4057.7158346231,20970000,73.5126591624451,0.798746315198801,39.381850442699
2014,36.22636,4.2342145,77.71974,18.67752,4.196548,1.425194,17.48472,26.60184,37.41034,26.60184,4.23421449884782,34.3783681786834,45.5725928058879,6.3779788972687,3.1790022823606,3972.04375736464,20778000,68.5910423357715,1.08277813761066,34.4936288808734
2013,36.00288,5.5750579,80.31147,16.37393,4.858893,1.419974,17.7773,26.40092,35.63609,26.40092,5.57505794057583,33.4330897427027,43.1505837837428,4.05174633027869,6.90845034828452,3739.43181100202,20585000,68.3536165599981,1.21148000445532,33.5393607635157
2012,36.1428,3.6275833,87.99238,14.05205,4.947972,1.741745,22.28792,26.97991,33.55022,26.97991,3.62758332957379,33.9249288231361,41.0453555049277,8.63218137662685,7.54291373239437,3327.77613691283,21169458,66.747235367113,1.3359173422599,34.0180437824337
